wavenumber,s1t1,s1t2,s1t3,s2t1,s2t2,s2t3,s3t1,s3t2,s3t3,s4t1,s4t2,s4t3,s5t1,s5t2,s5t3,s6t1,s6t2,s6t3,s7t1,s7t2,s7t3,s8t1,s8t2,s8t3,s9t1,s9t2,s9t3,s10t1,s10t2,s10t3,s11t1,s11t2,s11t3,s12t1,s12t2,s12t3,s13t1,s13t2,s13t3
1.715854E+03,3.488517E-02,3.456523E-02,3.506523E-02,1.541614E-02,1.410433E-02,1.651369E-02,2.315167E-02,2.499160E-02,2.759288E-02,2.466869E-02,2.990787E-02,2.906547E-02,1.881627E-02,2.300449E-02,1.272686E-02,2.132485E-02,2.081485E-02,2.567291E-02,3.156102E-02,2.837066E-02,2.649736E-02,2.093660E-02,1.903698E-02,2.066492E-02,2.855459E-02,3.344227E-02,3.164822E-02,1.668223E-02,1.869103E-02,2.262657E-02,2.057775E-02,2.405091E-02,2.555903E-02,2.804788E-02,3.203125E-02,3.359106E-02,1.504051E-02,1.244943E-02,1.642259E-02
1.716336E+03,3.526280E-02,3.492362E-02,3.547668E-02,1.587312E-02,1.455469E-02,1.699781E-02,2.367743E-02,2.555414E-02,2.815149E-02,2.513601E-02,3.039828E-02,2.953826E-02,1.932839E-02,2.351448E-02,1.320992E-02,2.177531E-02,2.130721E-02,2.617436E-02,3.199423E-02,2.883558E-02,2.693436E-02,2.137626E-02,1.946674E-02,2.108437E-02,2.897284E-02,3.386522E-02,3.205059E-02,1.717233E-02,1.915556E-02,2.314069E-02,2.099168E-02,2.444868E-02,2.594855E-02,2.836758E-02,3.243562E-02,3.391508E-02,1.540134E-02,1.281347E-02,1.681509E-02
1.716818E+03,3.569908E-02,3.532782E-02,3.593663E-02,1.635281E-02,1.502271E-02,1.748358E-02,2.422766E-02,2.612871E-02,2.874621E-02,2.560602E-02,3.087725E-02,3.001618E-02,1.981077E-02,2.400875E-02,1.365669E-02,2.219890E-02,2.177514E-02,2.664499E-02,3.241045E-02,2.926019E-02,2.733048E-02,2.179590E-02,1.985652E-02,2.145263E-02,2.936852E-02,3.426886E-02,3.243573E-02,1.761575E-02,1.958693E-02,2.361431E-02,2.133199E-02,2.477911E-02,2.628519E-02,2.865131E-02,3.280191E-02,3.420346E-02,1.573664E-02,1.315220E-02,1.717895E-02
1.717300E+03,3.606302E-02,3.565753E-02,3.630301E-02,1.674435E-02,1.538936E-02,1.785103E-02,2.467178E-02,2.658214E-02,2.924201E-02,2.594102E-02,3.120367E-02,3.035226E-02,2.011839E-02,2.434192E-02,1.392991E-02,2.246460E-02,2.207896E-02,2.693895E-02,3.266111E-02,2.949383E-02,2.754698E-02,2.205989E-02,2.007827E-02,2.164490E-02,2.961186E-02,3.452264E-02,3.267490E-02,1.787299E-02,1.985617E-02,2.390420E-02,2.146457E-02,2.491373E-02,2.644028E-02,2.878197E-02,3.298516E-02,3.433232E-02,1.593547E-02,1.335344E-02,1.739828E-02
1.717782E+03,3.624473E-02,3.581568E-02,3.646770E-02,1.695743E-02,1.556362E-02,1.801447E-02,2.490355E-02,2.681113E-02,2.952507E-02,2.604462E-02,3.128247E-02,3.044309E-02,2.016146E-02,2.441840E-02,1.394633E-02,2.248679E-02,2.212843E-02,2.696426E-02,3.264829E-02,2.944556E-02,2.749862E-02,2.207844E-02,2.005204E-02,2.158810E-02,2.961573E-02,3.453878E-02,3.267886E-02,1.785880E-02,1.987674E-02,2.391995E-02,2.132012E-02,2.478465E-02,2.634014E-02,2.868894E-02,3.290008E-02,3.422623E-02,1.592495E-02,1.334336E-02,1.739779E-02
1.718264E+03,3.619615E-02,3.576326E-02,3.639207E-02,1.695547E-02,1.551633E-02,1.795165E-02,2.488232E-02,2.678164E-02,2.954844E-02,2.589572E-02,3.109642E-02,3.026500E-02,1.993592E-02,2.422507E-02,1.370552E-02,2.225662E-02,2.191451E-02,2.671539E-02,3.235919E-02,2.911493E-02,2.718326E-02,2.183980E-02,1.977460E-02,2.128591E-02,2.936749E-02,3.430611E-02,3.243316E-02,1.757313E-02,1.963851E-02,2.365791E-02,2.091821E-02,2.440763E-02,2.599125E-02,2.837250E-02,3.254971E-02,3.388420E-02,1.569710E-02,1.311412E-02,1.717071E-02
1.718746E+03,3.594499E-02,3.552817E-02,3.611343E-02,1.676749E-02,1.528810E-02,1.770616E-02,2.464747E-02,2.653850E-02,2.934863E-02,2.555063E-02,3.070531E-02,2.987607E-02,1.951671E-02,2.382809E-02,1.328193E-02,2.183831E-02,2.150551E-02,2.626762E-02,3.186342E-02,2.858340E-02,2.667575E-02,2.140838E-02,1.931415E-02,2.081062E-02,2.893038E-02,3.388825E-02,3.199983E-02,1.709509E-02,1.920726E-02,2.319787E-02,2.034994E-02,2.386695E-02,2.547013E-02,2.789780E-02,3.201470E-02,3.337331E-02,1.530873E-02,1.272294E-02,1.677679E-02
1.719229E+03,3.556208E-02,3.517531E-02,3.570681E-02,1.646024E-02,1.495538E-02,1.735355E-02,2.428333E-02,2.616879E-02,2.901017E-02,2.510042E-02,3.020273E-02,2.937164E-02,1.900901E-02,2.332602E-02,1.277774E-02,2.132722E-02,2.100083E-02,2.572690E-02,3.126509E-02,2.796115E-02,2.607914E-02,2.088028E-02,1.876710E-02,2.025859E-02,2.840066E-02,3.338040E-02,3.147487E-02,1.653358E-02,1.868266E-02,2.265209E-02,1.972567E-02,2.326614E-02,2.487597E-02,2.735314E-02,3.140103E-02,3.278591E-02,1.484438E-02,1.225488E-02,1.630424E-02
1.719711E+03,3.513266E-02,3.478170E-02,3.525637E-02,1.611411E-02,1.460510E-02,1.697703E-02,2.388974E-02,2.577250E-02,2.863461E-02,2.464316E-02,2.968842E-02,2.885523E-02,1.851918E-02,2.282122E-02,1.229632E-02,2.082306E-02,2.050365E-02,2.520188E-02,3.067238E-02,2.735818E-02,2.549890E-02,2.035660E-02,1.823353E-02,1.972664E-02,2.788102E-02,3.288214E-02,3.096008E-02,1.599906E-02,1.817026E-02,2.213576E-02,1.914974E-02,2.270424E-02,2.430639E-02,2.682678E-02,3.081194E-02,3.221585E-02,1.439430E-02,1.179960E-02,1.584622E-02
1.720193E+03,3.472872E-02,3.441323E-02,3.483078E-02,1.579824E-02,1.430793E-02,1.664347E-02,2.355103E-02,2.543211E-02,2.830806E-02,2.425541E-02,2.924197E-02,2.840890E-02,1.812563E-02,2.239182E-02,1.191449E-02,2.040296E-02,2.009177E-02,2.477339E-02,3.016895E-02,2.685537E-02,2.501413E-02,1.991531E-02,1.779076E-02,1.928706E-02,2.745143E-02,3.246904E-02,3.053391E-02,1.557375E-02,1.775206E-02,2.173396E-02,1.869390E-02,2.225146E-02,2.383222E-02,2.638517E-02,3.032128E-02,3.173430E-02,1.402907E-02,1.142651E-02,1.547464E-02
